image_id,gt_verb,gt_object,gt_verb_synset,gt_object_synset,pred_verb_synset,pred_object_synset,category,similarity_level,bin
15843,exit,boat,exit.v.01,boat.n.01,exit.v.01,gig.n.04,1,3,"(1, 3)"
25481,tie,boat,tie.v.01,boat.n.01,tie.v.01,canoe.n.01,1,3,"(1, 3)"
1524,drag,suitcase,drag.v.01,bag.n.06,drag.v.01,hand_luggage.n.01,1,3,"(1, 3)"
34798,hug,person,embrace.v.02,person.n.01,embrace.v.02,preemptor.n.01,1,3,"(1, 3)"
21921,sign,sports_ball,sign.v.01,ball.n.01,sign.v.01,medicine_ball.n.01,1,3,"(1, 3)"
36774,pet,horse,pet.v.01,horse.n.01,pet.v.01,bronco.n.01,1,3,"(1, 3)"
37409,feed,elephant,feed.v.01,elephant.n.01,feed.v.01,american_mastodon.n.01,1,3,"(1, 3)"
12120,make,sandwich,make.v.15,sandwich.n.01,make.v.15,hotdog.n.02,1,3,"(1, 3)"
7434,park,bicycle,park.v.02,bicycle.n.01,park.v.02,velocipede.n.01,1,3,"(1, 3)"
27126,wash,bus,wash.v.03,bus.n.01,wash.v.03,minibus.n.01,1,3,"(1, 3)"
37845,hold,sports_ball,hold.v.02,ball.n.01,hold.v.02,marble.n.02,1,3,"(1, 3)"
35031,repair,cell_phone,repair.v.01,cellular_telephone.n.01,repair.v.01,video_ipod.n.01,1,3,"(1, 3)"
5040,wear,snowboard,wear.v.09,snowboard.n.01,wear.v.09,surfboard.n.01,1,3,"(1, 3)"
25029,assemble,kite,assemble.v.01,kite.n.03,assemble.v.01,sport_kite.n.01,1,3,"(1, 3)"
32587,open,backpack,open.v.01,backpack.n.01,open.v.01,schoolbag.n.01,1,3,"(1, 3)"
18593,tie,tie,tie.v.01,necktie.n.01,tie.v.01,bolo_tie.n.01,1,3,"(1, 3)"
26538,wash,sheep,wash.v.03,sheep.n.01,wash.v.03,mountain_sheep.n.01,1,3,"(1, 3)"
15211,wash,horse,wash.v.03,horse.n.01,wash.v.03,thoroughbred.n.02,1,3,"(1, 3)"
23608,hold,cow,hold.v.02,cow.n.01,hold.v.02,brahman.n.04,1,3,"(1, 3)"
31566,wash,bicycle,wash.v.03,bicycle.n.01,wash.v.03,moped.n.01,1,3,"(1, 3)"
11478,read,book,read.v.01,book.n.01,read.v.01,magazine.n.01,1,3,"(1, 3)"
29177,inspect,truck,inspect.v.01,truck.n.01,inspect.v.01,delivery_truck.n.01,1,3,"(1, 3)"
27113,push,bicycle,push.v.01,bicycle.n.01,push.v.01,boneshaker.n.01,1,3,"(1, 3)"
11420,inspect,boat,inspect.v.01,boat.n.01,inspect.v.01,skiff.n.01,1,3,"(1, 3)"
6937,carry,dog,transport.v.02,dog.n.01,transport.v.02,liver-spotted_dalmatian.n.01,1,3,"(1, 3)"
7396,walk,bicycle,walk.v.09,bicycle.n.01,walk.v.09,safety_bicycle.n.01,1,4,"(1, 4)"
16420,groom,horse,groom.v.03,horse.n.01,groom.v.03,three-year-old_horse.n.01,1,4,"(1, 4)"
7015,herd,cow,herd.v.03,cow.n.01,herd.v.03,dairy_cattle.n.01,1,4,"(1, 4)"
2065,sit_on,bicycle,sit.v.01,bicycle.n.01,sit.v.01,safety_bicycle.n.01,1,4,"(1, 4)"
7175,kiss,cow,snog.v.01,cow.n.01,snog.v.01,dairy_cattle.n.01,1,4,"(1, 4)"
6259,walk,elephant,walk.v.09,elephant.n.01,walk.v.09,rogue_elephant.n.01,1,4,"(1, 4)"
31485,hug,dog,embrace.v.02,dog.n.01,embrace.v.02,watchdog.n.02,1,4,"(1, 4)"
18604,kiss,horse,snog.v.01,horse.n.01,snog.v.01,three-year-old_horse.n.01,1,4,"(1, 4)"
14822,wave,bus,beckon.v.01,bus.n.01,beckon.v.01,deadhead.n.02,1,4,"(1, 4)"
2339,ride,bicycle,ride.v.01,bicycle.n.01,ride.v.01,safety_bicycle.n.01,1,4,"(1, 4)"
22403,eat_at,dining_table,eat.v.01,dining_table.n.01,eat.v.01,dinner_table.n.01,1,4,"(1, 4)"
9899,smell,donut,smell.v.01,doughnut.n.02,smell.v.01,fastnacht.n.01,1,4,"(1, 4)"
28533,ride,bicycle,ride.v.01,bicycle.n.01,ride.v.01,safety_bicycle.n.01,1,4,"(1, 4)"
25458,carry,sports_ball,transport.v.02,ball.n.01,transport.v.02,object_ball.n.01,1,4,"(1, 4)"
17224,sip,cup,sip.v.01,cup.n.01,sip.v.01,teacup.n.02,1,4,"(1, 4)"
6682,light,cake,ignite.v.01,cake.n.03,ignite.v.01,gateau.n.01,1,4,"(1, 4)"
3232,shear,sheep,shear.v.01,sheep.n.01,shear.v.01,wild_sheep.n.01,1,4,"(1, 4)"
27672,wash,bicycle,wash.v.03,bicycle.n.01,wash.v.03,push-bike.n.01,1,4,"(1, 4)"
14877,hold,person,hold.v.02,person.n.01,hold.v.02,wisconsinite.n.01,1,4,"(1, 4)"
36782,feed,horse,feed.v.01,horse.n.01,feed.v.01,farm_horse.n.01,1,4,"(1, 4)"
19545,tag,person,tag.v.02,person.n.01,tag.v.02,reliever.n.02,1,4,"(1, 4)"
32128,straddle,dog,straddle.v.01,dog.n.01,straddle.v.01,guide_dog.n.01,1,4,"(1, 4)"
14239,chase,cat,chase.v.01,cat.n.01,chase.v.01,alley_cat.n.01,1,4,"(1, 4)"
27089,direct,bus,steer.v.01,bus.n.01,steer.v.01,deadhead.n.02,1,4,"(1, 4)"
13601,board,car,board.v.01,car.n.01,board.v.01,gas_guzzler.n.01,1,4,"(1, 4)"
18550,inspect,bus,inspect.v.01,bus.n.01,inspect.v.01,deadhead.n.02,1,4,"(1, 4)"
30091,carry,bicycle,transport.v.02,bicycle.n.01,transport.v.02,safety_bicycle.n.01,1,4,"(1, 4)"
28155,jump,car,jump.v.01,car.n.01,jump.v.01,electric.n.01,1,4,"(1, 4)"
35444,block,sports_ball,obstruct.v.02,ball.n.01,obstruct.v.02,lacrosse_ball.n.01,1,4,"(1, 4)"
28591,jump,horse,jump.v.01,horse.n.01,jump.v.01,sorrel.n.05,1,4,"(1, 4)"
8865,race,horse,race.v.04,horse.n.01,race.v.04,post_horse.n.01,1,4,"(1, 4)"
19611,board,train,board.v.01,train.n.01,board.v.01,boat_train.n.01,1,4,"(1, 4)"
29814,kiss,horse,snog.v.01,horse.n.01,snog.v.01,remount.n.01,1,4,"(1, 4)"
25262,hug,horse,embrace.v.02,horse.n.01,embrace.v.02,tarpan.n.01,1,4,"(1, 4)"
35280,repair,bicycle,repair.v.01,bicycle.n.01,repair.v.01,safety_bicycle.n.01,1,4,"(1, 4)"
18748,set,umbrella,set.v.08,umbrella.n.01,set.v.08,gamp.n.01,1,4,"(1, 4)"
26150,wear,tie,wear.v.09,necktie.n.01,wear.v.09,old_school_tie.n.01,1,4,"(1, 4)"
21299,train,horse,coach.v.01,horse.n.01,coach.v.01,stalking-horse.n.04,1,4,"(1, 4)"
28796,eat,donut,eat.v.01,doughnut.n.02,eat.v.01,fastnacht.n.01,1,4,"(1, 4)"
17268,pack,suitcase,pack.v.01,bag.n.06,pack.v.01,gripsack.n.01,1,4,"(1, 4)"
32127,load,horse,load.v.01,horse.n.01,load.v.01,mare.n.01,1,4,"(1, 4)"
4749,serve,sports_ball,serve.v.15,ball.n.01,send.v.02,ball.n.01,2,1,"(2, 1)"
34036,sit_on,skateboard,sit.v.01,skateboard.n.01,unhorse.v.01,skateboard.n.01,2,1,"(2, 1)"
32303,hold,banana,hold.v.02,banana.n.02,tug.v.01,banana.n.02,2,1,"(2, 1)"
25536,hose,car,hose.v.01,car.n.01,wipe_up.v.01,car.n.01,2,1,"(2, 1)"
36746,jump,horse,jump.v.01,horse.n.01,somersault.v.01,horse.n.01,2,1,"(2, 1)"
2522,carry,suitcase,transport.v.02,bag.n.06,caravan.v.01,bag.n.06,2,1,"(2, 1)"
32037,hold,horse,hold.v.02,horse.n.01,chafe.v.06,horse.n.01,2,1,"(2, 1)"
30669,jump,motorcycle,jump.v.01,motorcycle.n.01,dart.v.02,motorcycle.n.01,2,1,"(2, 1)"
11436,board,bus,board.v.01,bus.n.01,joyride.v.01,bus.n.01,2,1,"(2, 1)"
36712,straddle,horse,straddle.v.01,horse.n.01,perch.v.03,horse.n.01,2,1,"(2, 1)"
18580,carry,couch,transport.v.02,sofa.n.01,spirit_away.v.01,sofa.n.01,2,1,"(2, 1)"
8469,drink_with,bottle,drink.v.01,bottle.n.01,wet.v.01,bottle.n.01,2,1,"(2, 1)"
35970,board,airplane,board.v.01,airplane.n.01,snowmobile.v.01,airplane.n.01,2,1,"(2, 1)"
9904,pet,giraffe,pet.v.01,giraffe.n.01,toy.v.02,giraffe.n.01,2,1,"(2, 1)"
8717,eat,cake,eat.v.01,cake.n.03,take.v.04,cake.n.03,2,1,"(2, 1)"
34298,sit_on,skateboard,sit.v.01,skateboard.n.01,reseat.v.03,skateboard.n.01,2,1,"(2, 1)"
25764,drive,train,drive.v.01,train.n.01,start.v.08,train.n.01,2,1,"(2, 1)"
26721,park,car,park.v.02,car.n.01,pin.v.04,car.n.01,2,1,"(2, 1)"
23620,jump,bicycle,jump.v.01,bicycle.n.01,bounce.v.02,bicycle.n.01,2,1,"(2, 1)"
18649,flip,skateboard,flip.v.04,skateboard.n.01,thrust.v.01,skateboard.n.01,2,1,"(2, 1)"
2180,jump,bicycle,jump.v.01,bicycle.n.01,pass.v.01,bicycle.n.01,2,1,"(2, 1)"
14230,load,horse,load.v.01,horse.n.01,boot.v.02,horse.n.01,2,1,"(2, 1)"
9029,wash,horse,wash.v.03,horse.n.01,felt.v.03,horse.n.01,2,1,"(2, 1)"
17391,inspect,boat,inspect.v.01,boat.n.01,rummage.v.01,boat.n.01,2,1,"(2, 1)"
9779,board,car,board.v.01,car.n.01,drive_in.v.02,car.n.01,2,1,"(2, 1)"
35182,jump,skis,jump.v.01,ski.n.01,clop.v.01,ski.n.01,2,1,"(2, 1)"
37848,dribble,sports_ball,dribble.v.03,ball.n.01,push_out.v.01,ball.n.01,2,1,"(2, 1)"
6181,inspect,boat,inspect.v.01,boat.n.01,show.v.01,boat.n.01,2,1,"(2, 1)"
30137,ride,horse,ride.v.01,horse.n.01,cling.v.03,horse.n.01,2,1,"(2, 1)"
14133,ride,bicycle,ride.v.01,bicycle.n.01,roller_skate.v.01,bicycle.n.01,2,1,"(2, 1)"
2664,repair,bicycle,repair.v.01,bicycle.n.01,untwist.v.01,bicycle.n.01,2,1,"(2, 1)"
3350,ride,sheep,ride.v.01,sheep.n.01,unhorse.v.01,sheep.n.01,2,1,"(2, 1)"
8516,exit,boat,exit.v.01,boat.n.01,travel.v.05,boat.n.01,2,1,"(2, 1)"
14916,flip,skateboard,flip.v.04,skateboard.n.01,bounce.v.02,skateboard.n.01,2,1,"(2, 1)"
16140,wash,boat,wash.v.03,boat.n.01,mothproof.v.01,boat.n.01,2,1,"(2, 1)"
26409,operate,microwave,operate.v.03,microwave.n.01,attune.v.01,microwave.n.01,2,1,"(2, 1)"
37870,carry,sports_ball,transport.v.02,ball.n.01,voyage.v.01,ball.n.01,2,1,"(2, 1)"
3229,hold,skateboard,hold.v.02,skateboard.n.01,draw_off.v.01,skateboard.n.01,2,1,"(2, 1)"
17842,turn,motorcycle,turn.v.04,motorcycle.n.01,seal.v.01,motorcycle.n.01,2,1,"(2, 1)"
25778,teach,person,teach.v.01,person.n.01,analyze.v.01,person.n.01,2,1,"(2, 1)"
10840,run,horse,run.v.26,horse.n.01,rustle.v.02,horse.n.01,2,1,"(2, 1)"
17946,ride,bicycle,ride.v.01,bicycle.n.01,sled.v.01,bicycle.n.01,2,2,"(2, 2)"
13284,ride,skateboard,ride.v.01,skateboard.n.01,mush.v.01,skateboard.n.01,2,2,"(2, 2)"
24540,wash,cat,wash.v.03,cat.n.01,pumice.v.01,cat.n.01,2,2,"(2, 2)"
21295,adjust,skis,adjust.v.01,ski.n.01,amplify.v.04,ski.n.01,2,2,"(2, 2)"
6921,straddle,bicycle,straddle.v.01,bicycle.n.01,ride_horseback.v.01,bicycle.n.01,2,2,"(2, 2)"
761,talk_on,cell_phone,call.v.03,cellular_telephone.n.01,ping.v.04,cellular_telephone.n.01,2,2,"(2, 2)"
17226,hold,umbrella,hold.v.02,umbrella.n.01,draw_close.v.03,umbrella.n.01,2,2,"(2, 2)"
13587,stand_on,surfboard,stand.v.01,surfboard.n.01,bounce.v.05,surfboard.n.01,2,2,"(2, 2)"
34436,sit_at,dining_table,sit.v.01,dining_table.n.01,slump.v.01,dining_table.n.01,2,2,"(2, 2)"
4630,ride,surfboard,ride.v.01,surfboard.n.01,piggyback.v.04,surfboard.n.01,2,2,"(2, 2)"
8777,hold,chair,hold.v.02,chair.n.01,draw_close.v.03,chair.n.01,2,2,"(2, 2)"
16664,pick_up,cake,pick_up.v.02,cake.n.03,grip.v.01,cake.n.03,2,2,"(2, 2)"
35013,spin,frisbee,whirl.v.02,frisbee.n.01,toss.v.06,frisbee.n.01,2,2,"(2, 2)"
34826,exit,airplane,exit.v.01,airplane.n.01,burst.v.04,airplane.n.01,2,2,"(2, 2)"
10159,hold,skateboard,hold.v.02,skateboard.n.01,clinch.v.02,skateboard.n.01,2,2,"(2, 2)"
28251,sip,wine_glass,sip.v.01,wineglass.n.01,nibble.v.01,wineglass.n.01,2,2,"(2, 2)"
25485,carry,skateboard,transport.v.02,skateboard.n.01,wheel.v.02,skateboard.n.01,2,2,"(2, 2)"
20867,hose,dog,hose.v.01,dog.n.01,syringe.v.01,dog.n.01,2,2,"(2, 2)"
14716,ride,skateboard,ride.v.01,skateboard.n.01,gallop.v.01,skateboard.n.01,2,2,"(2, 2)"
12969,lie_on,bench,lie.v.02,bench.n.01,curl_up.v.01,bench.n.01,2,2,"(2, 2)"
13765,ride,truck,ride.v.01,truck.n.01,mush.v.01,truck.n.01,2,2,"(2, 2)"
13091,stab,person,stab.v.02,person.n.01,strike.v.01,person.n.01,2,2,"(2, 2)"
7042,wash,boat,wash.v.03,boat.n.01,wipe.v.01,boat.n.01,2,2,"(2, 2)"
36852,push,motorcycle,push.v.01,motorcycle.n.01,step_on.v.01,motorcycle.n.01,2,2,"(2, 2)"
33029,jump,bicycle,jump.v.01,bicycle.n.01,pounce.v.01,bicycle.n.01,2,2,"(2, 2)"
27369,sit_on,couch,sit.v.01,sofa.n.01,plonk_down.v.01,sofa.n.01,2,2,"(2, 2)"
2394,jump,horse,jump.v.01,horse.n.01,lunge.v.01,horse.n.01,2,2,"(2, 2)"
12535,board,boat,board.v.01,boat.n.01,shanghai.v.01,boat.n.01,2,2,"(2, 2)"
30644,kiss,person,snog.v.01,person.n.01,pet.v.02,person.n.01,2,2,"(2, 2)"
36324,park,car,park.v.02,car.n.01,berth.v.01,car.n.01,2,2,"(2, 2)"
27054,hold,frisbee,hold.v.02,frisbee.n.01,clench.v.02,frisbee.n.01,2,2,"(2, 2)"
11335,pull,kite,pull.v.01,kite.n.03,rein.v.02,kite.n.03,2,2,"(2, 2)"
36933,kiss,sheep,snog.v.01,sheep.n.01,clinch.v.04,sheep.n.01,2,2,"(2, 2)"
670,pull,tie,pull.v.01,necktie.n.01,rein.v.02,necktie.n.01,2,2,"(2, 2)"
14724,direct,bus,steer.v.01,bus.n.01,ride_herd.v.01,bus.n.01,2,2,"(2, 2)"
25138,lose,umbrella,lose.v.01,umbrella.n.01,spill.v.03,umbrella.n.01,2,2,"(2, 2)"
9694,sit_on,bench,sit.v.01,bench.n.01,hunker_down.v.02,bench.n.01,2,2,"(2, 2)"
34666,sit_on,chair,sit.v.01,chair.n.01,ease.v.01,chair.n.01,2,2,"(2, 2)"
32102,direct,airplane,steer.v.01,airplane.n.01,wheel.v.01,airplane.n.01,2,2,"(2, 2)"
35545,wash,bicycle,wash.v.03,bicycle.n.01,floss.v.01,bicycle.n.01,2,2,"(2, 2)"
12940,hose,car,hose.v.01,car.n.01,water-wash.v.01,car.n.01,2,2,"(2, 2)"
23146,throw,sports_ball,throw.v.01,ball.n.01,hurl.v.01,ball.n.01,2,3,"(2, 3)"
34836,hop_on,bicycle,hop_on.v.01,bicycle.n.01,remount.v.01,bicycle.n.01,2,3,"(2, 3)"
11303,cook,hot_dog,cook.v.01,hotdog.n.01,hibachi.v.01,hotdog.n.01,2,3,"(2, 3)"
33429,jump,motorcycle,jump.v.01,motorcycle.n.01,bounce.v.05,motorcycle.n.01,2,3,"(2, 3)"
30208,load,car,load.v.01,car.n.01,freight.v.02,car.n.01,2,3,"(2, 3)"
8617,jump,boat,jump.v.01,boat.n.01,hop.v.06,boat.n.01,2,3,"(2, 3)"
29007,carry,backpack,transport.v.02,backpack.n.01,cart_off.v.01,backpack.n.01,2,3,"(2, 3)"
28103,eat,banana,eat.v.01,banana.n.02,devour.v.03,banana.n.02,2,3,"(2, 3)"
26466,drive,boat,drive.v.01,boat.n.01,helm.v.01,boat.n.01,2,3,"(2, 3)"
